subgroup,modeldate,startdate,enddate,pollster,grade,samplesize,population,weight,influence,dem,rep,adjusted_dem,adjusted_rep,multiversions,tracking,url,poll_id,question_id,createddate,timestamp
All polls,11/7/2022,11/21/2020,11/23/2020,McLaughlin & Associates,C/D,1000,lv,.4366721,0,45,47,44.377178,44.048764,"","",https://mclaughlinonline.com/pols/wp-content/uploads/2020/11/Newsmax-National-PPT-11-24-20-.pdf,73339,139355,1/20/2021,18:59:21  7 Nov 2022
All polls,11/7/2022,12/9/2020,12/13/2020,McLaughlin & Associates,C/D,1000,lv,.41408315,0,46,48,45.377178,45.048764,"","",https://mclaughlinonline.com/pols/wp-content/uploads/2020/12/National-Monthly-December-For-Release-1.pdf,73755,139356,1/20/2021,18:59:21  7 Nov 2022
All polls,11/7/2022,1/20/2021,1/22/2021,Morning Consult,B,10989,rv,.06026821,0,45,41,44.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80108,160543,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,1/21/2021,1/23/2021,Morning Consult,B,10764,rv,.05825534,0,45,40,44.146218,40.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80109,160544,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,1/22/2021,1/24/2021,Morning Consult,B,11402,rv,.05816801,0,45,41,44.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80110,160545,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,1/23/2021,1/25/2021,Morning Consult,B,13334,rv,.06049161,0,45,40,44.146218,40.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80111,160546,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,1/24/2021,1/26/2021,Morning Consult,B,14159,rv,.06059053,0,45,40,44.146218,40.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80112,160547,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,1/25/2021,1/27/2021,Morning Consult,B,14390,rv,.05969437,0,44,40,43.146218,40.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80113,160548,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,1/26/2021,1/28/2021,Morning Consult,B,14245,rv,.05825044,0,45,40,44.146218,40.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80114,160549,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,1/27/2021,1/29/2021,Morning Consult,B,13818,rv,.05643094,0,44,40,43.146218,40.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80115,160550,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,1/28/2021,1/30/2021,Morning Consult,B,14196,rv,.05598434,0,45,40,44.146218,40.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80116,160551,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,1/29/2021,1/31/2021,Morning Consult,B,14343,rv,.05521472,0,45,41,44.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80117,160552,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,1/30/2021,2/1/2021,Morning Consult,B,14184,rv,.05402979,0,45,41,44.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80118,160553,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,1/31/2021,2/2/2021,Morning Consult,B,14080,rv,.05298632,0,45,41,44.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80119,160554,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,2/1/2021,2/3/2021,Morning Consult,B,12887,rv,.05033487,0,45,41,44.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80120,160555,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,2/2/2021,2/4/2021,Morning Consult,B,12781,rv,.04940492,0,45,41,44.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80121,160556,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,2/3/2021,2/5/2021,Morning Consult,B,11742,rv,.0470559,0,45,41,44.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80122,160557,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,2/4/2021,2/6/2021,Morning Consult,B,12644,rv,.04778164,0,45,41,44.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80123,160558,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,2/5/2021,2/7/2021,Morning Consult,B,13649,rv,.04859062,0,44,41,43.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80124,160559,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,2/6/2021,2/8/2021,Morning Consult,B,14202,rv,.04871573,0,44,41,43.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80125,160560,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,2/7/2021,2/9/2021,Morning Consult,B,14276,rv,.04819452,0,44,41,43.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80126,160561,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,2/8/2021,2/10/2021,Morning Consult,B,13269,rv,.04622922,0,44,41,43.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80127,160562,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,2/9/2021,2/11/2021,Morning Consult,B,13241,rv,.04564137,0,44,41,43.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80128,160563,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,2/10/2021,2/12/2021,Morning Consult,B,12426,rv,.0439853,0,45,40,44.146218,40.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80129,160564,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,2/11/2021,2/13/2021,Morning Consult,B,12565,rv,.04369074,0,45,40,44.146218,40.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80130,160565,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,2/12/2021,2/14/2021,Morning Consult,B,13339,rv,.04426781,0,45,40,44.146218,40.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80131,160566,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,2/13/2021,2/15/2021,Morning Consult,B,14263,rv,.04499916,0,45,41,44.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80132,160567,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,2/12/2021,2/18/2021,Echelon Insights,B/C,1005,rv,.72685144,0,44,44,41.870569,43.673985,"","",https://echeloninsights.com/in-the-news/march-omnibus-political/,74400,140351,3/24/2021,18:59:21  7 Nov 2022
All polls,11/7/2022,2/14/2021,2/16/2021,Morning Consult,B,14401,rv,.04472279,0,45,41,44.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80133,160568,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,2/15/2021,2/17/2021,Morning Consult,B,13794,rv,.04353759,0,45,41,44.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80134,160569,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,2/16/2021,2/18/2021,Morning Consult,B,13371,rv,.04260144,0,45,41,44.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80135,160570,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,2/17/2021,2/19/2021,Morning Consult,B,12952,rv,.04168828,0,45,40,44.146218,40.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80136,160571,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,2/18/2021,2/20/2021,Morning Consult,B,12907,rv,.04127394,0,45,40,44.146218,40.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80137,160572,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,2/19/2021,2/21/2021,Morning Consult,B,13504,rv,.04168147,0,44,41,43.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80138,160573,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,2/20/2021,2/22/2021,Morning Consult,B,13182,rv,.04095463,0,44,41,43.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80139,160574,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,2/18/2021,2/23/2021,GQR,B,1000,rv,1.1342245,0,47.666667,42.333333,45.428483,40.577652,*,"",https://democracycorps.com/national-surveys/new-democracy-corps-national-phone-poll-fixed-to-accommodate-trumps-right-wing-populism/,74469,140127,3/10/2021,18:59:21  7 Nov 2022
All polls,11/7/2022,2/21/2021,2/23/2021,Morning Consult,B,12503,rv,.03979265,0,44,41,43.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80140,160575,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,2/22/2021,2/24/2021,Morning Consult,B,11559,rv,.03828057,0,44,41,43.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80141,160576,9/8/2022,18:59:21  7 Nov 2022
All polls,11/7/2022,2/22/2021,2/25/2021,NRSC,"",1200,lv,1.055869,0,39,38,40.663717,38.993693,"","",https://static.politico.com/46/bc/107f15c4455fb427632f492b4deb/nrsc-national-survey.pdf,74745,140879,4/30/2021,18:59:21  7 Nov 2022
All polls,11/7/2022,2/23/2021,2/25/2021,Morning Consult,B,11741,rv,.03824922,0,44,41,43.146218,41.920013,"",T,https://morningconsult.com/2022-midterm-elections-tracker/,80142,160577,9/8/2022,18:59:21  7 Nov 2022
